English_Sentence,Hindi_Sentence,Word_Count_English,Word_Count_Hindi,WC_Difference,Char_Count_English,Char_Count_Hindi,CC_Difference
"Like you feel pure after a holy dip in Kumbh, one feels pure after casting vote in this festival of democracy,",Happy to meet some of the young and bright engineers of Indian origin working at the Safran manufacturing facility.,21,19,2,110,115,-5
"He was, however, released a few days later.","""They havetested negative in the first test.",8,7,1,43,44,-1
"""There has been no response from the BJP to the Congress accusations.","And that did not include many minor cases of dishonesty, which some people call peccadilloes, or little sins.",12,18,-6,69,109,-40
"""The nation is proud of this impressive achievement, which has demonstrated, yet again, Indias increasing space capabilities.","If someone opposes your actions, invariably they leak the said actions.",17,11,6,125,71,54
"In the photo, Kareena is seen donning a red winter jacket and white denim, while Karisma wore a black sweater and a jacket with pink trousers.",A few days ago I spoke to Crown Prince Salman and enquired about King Abdullah`s health.,26,16,10,142,88,54
"Its 8 GB RAM and 128 GB storage variant is now available for Rs 27,990.",Officials of various departments were present.,15,6,9,71,46,25
"""The second phase polling is on December 14 and counting, along with that of Himachal Pradesh, will be held on December 18.",Celebrities Rahul Dev and Gaurav Chopra were of contrasting views on the winners.,22,13,9,123,81,42
"In fact, the new security architecture was certainly more ambitious but did not propose that it should be located in the IB.","""The Xero+ is offered with three driving modes which can be selected with a toggle fitted on the right side of the handlebars",22,23,-1,124,125,-1
At that time the government was of BJP in the state.,"Meanwhile, patients had to go to private hospitals for treatment.",11,10,1,52,65,-13
He pointed out that over 1.1 lakh devotees are expected to attend the festival.,"""They began to devote more time and effort to the pursuit of spiritual values and looked for ways to draw closer to Jehovah.",14,23,-9,79,124,-45
"""The police has also recovered Rs 11.58 lakh from the stolen amount.",Prakash is a known name in the southern film industry.,12,10,2,68,54,14
Top officials are closely monitoring the situation and also working in close coordination with the West Bengal government.,A search operation is currently underway in the area.,18,9,9,122,53,69
"Generally BCCIs affiliated associations do not depend on funds released from the board, they (associations) bear the expense and the reimbursement process is a day-to-day procedure, Shah added.",Observers are put on deputation with ECI for the entire duration of the Election Process till end of October 2019.,28,20,8,193,114,79
"Modi said the visit by the Iranian president shows how the two sides want to deepen cooperation in key areas, including connectivity.",She also won the gold medal for India at the Commonwealth Games.,22,12,10,133,64,69
"NMDC Ltd operates three iron ore complexes in the country, two of these are in Chhattisgarh while the third one in Karnataka.",Police had a very difficult task controlling huge crowd at the spot.,22,12,10,125,68,57
"""The police have arrested three in the case.",He also said that India will have also economic benefits through the bilateral agreement with China.,8,16,-8,44,100,-56
Shalu-Kalu a funny boy girl pair.,Sensex rallies 637 points on government stimulus boost. banking stocks soar,6,11,-5,33,75,-42
This is based on a true story.,"Shah challenges Rahul, Mamata on CAA",7,6,1,30,36,-6
I 'm coming with you.,It is helmed by Ali Abbas Zafar.,5,7,-2,21,32,-11
"Joint Secretary (Films), Ministry of I&B","However, the truth came to the fore later.",6,8,-2,40,42,-2
Lifestyle prevention of osteoporosis is in many aspects the inverse of the potentially modifiable risk factors.,"""The process might take decades and new forces might slowly replace it.",16,12,4,111,71,40
"""The body of the girl was sent to the hospital and preserved for post mortem.","""There was ongoing recruitment back then.",15,6,9,77,41,36
"In the end, the police handed him over to the family.",This is Indias first trade agreement with an African country.,11,10,1,53,61,-8
"""Thereafter He joined the Gointtingen University in Germany in 1904 and received a PhD from the University of Gttingen, Germany.","His songs included Moon River, Can't Take My Eyes off You, and Christmas song It's the Most Wonderful Time of the Year.",20,22,-2,128,119,9
This is the reason why the infrastructure related to medical education is being expanded and the policy is constantly being modified.,It opened in July 1906 with its first exhibition held by The Lake Artists Society.,21,15,6,133,82,51
"He had two kids, Ranbir and Ridhima Kapoor.",Sania Mirza posts emotional message after husband Shoaib Malik's retirement,8,10,-2,43,75,-32
Bollywood actress Anushka Sharma and Indian cricket team captain Virat Kohli are major couple goals.,UPs Deputy Chief Ministers Keshav Prasad Maurya and Dinesh Sharma also addressed the gathering on the occasion.,15,17,-2,100,111,-11
"To the already created list I have added this very important Richard Sennett, The Craftsman, 2009 publication.","Agriculture Minister Narendra Singh Tomar has invited the leaders of farmer unions, for talks, at 3 pm on December 1 at Vigyan Bhavan.",17,23,-6,110,134,-24
"Samson touch corpses as Nazirite? 1 / 15 Shechinahs significance, 8 / 15","""There has been excellent response also to the new programme of providing self employment to the educated unemployed.",13,18,-5,72,117,-45
Iran used to supply 10 per cent of Indias oil needs.,"Since then, the work is being done.",11,7,4,52,35,17
Because you cannot always predict what challenges you will face in the future.,"""The driver of the bus also died in the accident.",13,10,3,78,49,29
"Group C: England, Bangladesh, Canada, Namibia.",He demanded an inquiry into the case.,6,7,-1,46,37,9
"""An official stated, """"It is correct that the Chinese have started consolidating their positions on the north bank of Pangong Tso lake.""","Female employees too, worked till late hours as part of this mission.",22,12,10,136,69,67
"""The courts would be set-up in districts having 100 or more registered cases of child rape.","""The Finance Minister suggested a twofold solution to the farm crisis",16,11,5,91,69,22
"Retention is significantly higher when learning involves discussion, practice by doing and teaching others.","Bigg Boss 14: When press enters house, here's how housemates get grilled",14,12,2,107,72,35
"But growth rates are not uniform across the primary, secondary and tertiary education sectors.",Kareena Kapoor Khan has always been a trendsetter in Bollywood.,14,10,4,94,63,31
Becoming adept at using technology:-Institutes must be equipped with knowledge networks and world-class laboratory equipments.,"All of them use different colors to distinguish between lines, all of them use simple symbols to distinguish between types of stations.",15,22,-7,126,135,-9
"If rings in very sensitive areas, such as the breast, get caught or pulled by clothing, the piercings can easily tear.",' It is not possible to define with any precision the limitations the exercise of the discretionary on jurisdiction vested in this Court by the constitutional provision made in Article,21,30,-9,118,184,-66
Whats happening in the trial?,Fear spread in the village.,5,5,0,29,27,2
"""The BJPs stand is very clear on Ram temple issue.",A complaint was lodged by the victim with the Kotwali police.,10,11,-1,50,61,-11
We propose that a mechanism for an independent monitoring and assessment of external effects of such policies must be put in place.,"""The number of COVID-19 cases has gone up to 27,109 in West Bengal, 25,422 in Andhra Pradesh, 23,174 in Rajasthan, 19,934 in Haryana and 16,657 in Madhya Pradesh",22,28,-6,131,161,-30
Triple talaq should be banned.,After the preliminary investigation the police registered a case against the unidentified miscreants.,5,13,-8,30,101,-71
"""The pilot, who was equipped with a pistol, asked the youngsters whether it was India or Pakistan.","""The purpose of the evening was to bring all stakeholders together for a wonderful cause of Ganga rejuvenation and forge ahead in unison.",17,23,-6,98,137,-39
NRC to be introduced throughout country: Shah,Only two states have not participated West Bengal and Delhi.,7,10,-3,45,60,-15
"""They demanded compensation for the victims family.","""The Indore Ujjain branch line was opened in August 1876 and the line was completed in 187980.",7,17,-10,51,94,-43
He has also worked as a lawyer.,BJP Approaches Supreme Court Seeking Permission To Hold Rath Yatra In West Bengal,7,13,-6,31,81,-50
"""The status is as follows:","Second, Phyto-pharmaceuticals and extracts from medicinal plants are being tested.",5,10,-5,26,82,-56
"Instead, they teach that God is permissive and accepts almost anyone regardless of the kind of life he lives.",It has nothing to do with US Presidents event at Motera stadium.,19,12,7,109,64,45
It will be held in collaboration with the Indian Council of Agricultural Research.,Datsun has also given multiple storage spaces and cubby holes which can store various knick knacks for longer drives,13,19,-6,82,116,-34
"""The President said with 2015 declared as the warmest year ever in recorded history, climate change has moved centre-stage in policy formulation.","Telangana Pradesh Congress Committee (TPCC) president Uttam Kumar Reddy and other senior leaders are camping in Delhi for talks with AICC leaders, including party president Rahul Gandhi.",22,27,-5,145,186,-41
